"","AIC.full","AIC.disc","LR.disc","AIC.cont","LR.cont"
"GSE12225.GPL3676_eset",NA,NA,NA,NA,NA
"GSE12945_eset",NA,NA,NA,NA,NA
"GSE13067_eset",NA,NA,NA,NA,NA
"GSE13294_eset",99.4642998083824,139.410111183033,2.86608000037337e-10,104.1922641955,0.0126844131763054
"GSE14095_eset",NA,NA,NA,NA,NA
"GSE14333_eset",NA,NA,NA,NA,NA
"GSE17536_eset",NA,NA,NA,NA,NA
"GSE17538.GPL570_eset",NA,NA,NA,NA,NA
"GSE2109_eset",NA,NA,NA,NA,NA
"GSE21510_eset",NA,NA,NA,NA,NA
"GSE21815_eset",NA,NA,NA,NA,NA
"GSE26682.GPL570_eset",57.4463042485681,77.5914879831107,5.71399649665848e-06,55.5318322280689,0.192851392093023
"GSE26682.GPL96_eset",81.9799044057769,91.8440647037708,0.000975968595318212,76.1019885388955,0.71331628881275
"GSE33113_eset",NA,NA,NA,NA,NA
"GSE39582_eset",193.992938836338,223.81008810328,4.53627463615254e-08,210.006301981806,7.93836301648917e-05
"TCGA.COAD_eset",NA,NA,NA,NA,NA
"TCGA.RNASeqV2_eset",82.031656225482,129.885764193513,5.49570639499673e-12,78.9745741857903,0.293204776203422
"NHS.HPFS_eset",475.052464618635,532.030012106201,5.73976092136199e-14,475.188792638879,0.0867100585560529
